"document_date","po_number","line_number","supplier_id","supplier_name","pro_class","pro_class_description","desc_goods","service","expense_area","po_value"
"2017-04-07","ZZP271032","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 05 Phase 2 Project Management","74664"
"2017-04-07","ZZP271033","1","683","AECOM Limited","150000","Consultancy   ","Professional Fees","Capital Expenditure","Highway Drainage Investment Programme - Design","8667"
"2017-04-10","ZZP271044","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Capital Expenditure","Highway Drainage Investment Programme - On Site","32000"
"2017-04-10","ZZP271045","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","STCAPChestergte(RockRow-GtUnderbk)OnSit","5400"
"2017-04-10","ZZP271050","1","3529","Solutions SK Ltd","182000","Environmental Services Waste Management ","Waste Management","Services to Place","Pymt to Cont Recycling and Refuse","7072600"
"2017-04-10","ZZP271050","2","3529","Solutions SK Ltd","181600","Environmental Services Street Cleansing ","Cleaning","Services to Place","Pymt to Contr Street Cleaning","3107840"
"2017-04-10","ZZP271050","3","3529","Solutions SK Ltd","230000","Highway Equipment & Materials    ","Highways Maintenance","Services to Place","Gritting","396425"
"2017-04-10","ZZP271050","4","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SSK Contract SLA","2010620"
"2017-04-10","ZZP271050","5","3529","Solutions SK Ltd","230000","Highway Equipment & Materials    ","Highways Maintenance","Services to Place","SLA Safety Detect Repair Teams","2240790"
"2017-04-10","ZZP271050","6","3529","Solutions SK Ltd","350000","Street & Traffic Management  ","Fixtures and Fittings","Services to Place","SLA Street Lighting","1091870"
"2017-04-10","ZZP271050","7","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SSK Contract SLA","131127"
"2017-04-10","ZZP271050","8","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","Arboriculture Contract SSK","335881"
"2017-04-10","ZZP271050","9","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Footways - On Site","3034920"
"2017-04-10","ZZP271050","10","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Street Lighting - On Site","500000"
"2017-04-10","ZZP271050","11","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Repairs and Maintenance","Services to Place","Patrol","290000"
"2017-04-10","ZZP271050","12","3529","Solutions SK Ltd","192200","Facilities & Management Services Security ","Security","Services to Place","CCTV/Control","340680"
"2017-04-10","ZZP271050","13","3529","Solutions SK Ltd","202000","Financial Services Rents ","Rents","Services to Place","Operational Support","69000"
"2017-04-10","ZZP271050","14","3529","Solutions SK Ltd","202000","Financial Services Rents ","Rents","Services to Place","Operational Support","47448"
"2017-04-10","ZZP271090","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","STCAP 907 Lancashire Hill Roundabout - On Site","22247.6"
"2017-04-11","ZZP271136","1","7628","Schools ICT Service Ltd","390000","Works - Construction, Repair & Maintenance  ","Fees and Charges","Corporate and Support Services","POD SIMS","8892"
"2017-04-11","ZZP271174","1","4482","Waste Solutions SK Ltd","182000","Environmental Services Waste Management ","Waste Management","Corporate and Support Services","Public Libraries General","5500"
"2017-04-11","ZZP271179","1","178","Trafford Council","261400","Human Resources Temporary & Agency Staff ","Agency Staff","Corporate and Support Services","Library Management","6579.75"
"2017-04-11","ZZP271180","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","STCAP 907 Lancashire Hill Roundabout - On Site","58852.6"
"2017-04-12","ZZP271235","1","412","Manchester Airport Group Plc","390000","Supplies and services","Supplies and services","Capital Expenditure","Main Contractor DD - On Site","14295.7"
"2017-04-13","ZZP271287","1","9358","Seven Miles Out Arts CIC","290000","Arts & Leisure Services  ","Publicity and Promotion","Services to Place","High St Innovation Fund (H S I F)","5284.64"
"2017-04-18","ZZP271302","1","757","Transport for Greater Manchest","390000","Supplies and services","Supplies and services","Capital Expenditure","Main Contractor DD - On Site","640000"
"2017-04-18","ZZP271366","1","4272","Civica UK Ltd","390000","Supplies and services","Supplies and services","Corporate and Support Services","Bentax","25000"
"2017-04-19","ZZP271439","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","34216"
"2017-04-19","ZZP271440","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","10080"
"2017-04-19","ZZP271441","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","79000"
"2017-04-19","ZZP271442","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","52000"
"2017-04-19","ZZP271443","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","20640"
"2017-04-19","ZZP271444","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","76960"
"2017-04-19","ZZP271445","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","71760"
"2017-04-19","ZZP271446","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","89440"
"2017-04-19","ZZP271447","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","16560"
"2017-04-19","ZZP271448","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","89440"
"2017-04-19","ZZP271449","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","71760"
"2017-04-19","ZZP271450","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","19920"
"2017-04-19","ZZP271451","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","71760"
"2017-04-19","ZZP271452","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","18288"
"2017-04-19","ZZP271453","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","82160"
"2017-04-19","ZZP271454","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","25376"
"2017-04-19","ZZP271456","1","5915","Atkins Global","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","19200"
"2017-04-19","ZZP271457","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","79000"
"2017-04-19","ZZP271460","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","34216"
"2017-04-19","ZZP271461","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","33120"
"2017-04-19","ZZP271475","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","83538"
"2017-04-19","ZZP271476","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","83200"
"2017-04-19","ZZP271477","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","96720"
"2017-04-19","ZZP271478","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","52000"
"2017-04-19","ZZP271479","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","73320"
"2017-04-19","ZZP271480","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","89440"
"2017-04-19","ZZP271481","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","89440"
"2017-04-20","ZZP271503","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","Policy-Rights Of Way","9725.66"
"2017-04-20","ZZP271540","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Capital Expenditure","Highway Drainage Investment Programme - On Site","5500"
"2017-04-20","ZZP271541","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Highway Drainage Routine Repair - On Site","7800"
"2017-04-20","ZZP271543","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Services to Place","Highway Structures - Routine and Reactive Maintena","11754.4"
"2017-04-21","ZZP271565","1","865","Bethell Construction Ltd","390000","Supplies and services","Supplies and services","Capital Expenditure","004 A6 Viaduct Waterproofing - On Site","5152.34"
"2017-04-21","ZZP271566","1","7820","Greater Manchester GMUTC","390000","Supplies and services","Supplies and services","Capital Expenditure","004 A6 Viaduct Waterproofing - On Site","12000"
"2017-04-21","ZZP271570","1","8814","Agilisys Professional Services","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","IT Systems","12000"
"2017-04-21","ZZP271584","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Highway Drainage Investment Programme - On Site","9500"
"2017-04-21","ZZP271606","1","5014","BIOBAG LTD","182020","Environmental Services Waste Management","Waste Management Equipment","Services to Place","Food Waste Containers","291696"
"2017-04-21","ZZP271607","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","64480"
"2017-04-24","ZZP271667","1","3347","Crowley Memorials of Agecroft","390000","Works - Construction, Repair & Maintenance  ","Repairs and Maintenance","Services to Place","Berevement Services","8400"
"2017-04-25","ZZP271735","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","7576.6"
"2017-04-25","ZZP271736","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","8308.22"
"2017-04-25","ZZP271776","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","15852.5"
"2017-04-26","ZZP271830","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Capital Expenditure","Highway Drainage Routine Repair - On Site","5100"
"2017-04-27","ZZP271869","1","4461","SGM (UK) Ltd (Bibby)","181800","Environmental Services Technical Equipment ","Furniture and Equipment","Services to Place","Berevement Services","14280"
"2017-04-27","ZZP271941","1","757","Transport for Greater Manchest","390000","Supplies and services","Supplies and services","Capital Expenditure","SEMMMS Prep Costs - On Site","71330"
"2017-04-28","ZZP271975","1","3529","Solutions SK Ltd","130000","Cleaning & Janitorial  ","Cleaning","Corporate and Support Services","Marple Senior Citizens Hall","9322.2"
"2017-05-02","ZZP272061","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Capital Expenditure","B7 Barlow Fold Culvert Inv. Phase 1","7500"
"2017-05-02","ZZP272063","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","120690"
"2017-05-02","ZZP272065","1","1273","United Utilities","390000","Supplies and services","Supplies and services","Capital Expenditure","Main Contractor DD - On Site","53397.5"
"2017-05-02","ZZP272083","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","24791.2"
"2017-05-03","ZZP272157","1","2438","J Greenwood (Builders) Ltd","390000","Works - Construction, Repair & Maintenance  ","Repairs and Maintenance","Capital Expenditure","Leisure Emergency PECOS Code","22923"
"2017-05-05","ZZP272253","1","9315","Carillion Morgan Sindall JV","150000","Consultancy   ","Professional Fees","Capital Expenditure","Markets and Underbanks","7298.5"
"2017-05-05","ZZP272254","1","9543","Carillion (AMBS) Ltd","150000","Consultancy   ","Professional Fees","Capital Expenditure","Markets and Underbanks","7298.5"
"2017-05-05","ZZP272273","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Capital Expenditure","Gorsey Bank","5811"
"2017-05-06","ZZP272306","1","757","Transport for Greater Manchest","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","9700"
"2017-05-08","ZZP272319","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Services to Place","Landscape Dev-Werneth Ward Open Spaces","14000"
"2017-05-08","ZZP272332","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","STCAP 902 Penny Lane - Town Centre Links - On Site","11273.3"
"2017-05-08","ZZP272342","1","683","AECOM Limited","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 402 Knightsbridge and Great Portwood St - Fe","8310"
"2017-05-08","ZZP272365","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","7030.63"
"2017-05-08","ZZP272368","1","865","Bethell Construction Ltd","390000","Supplies and services","Supplies and services","Capital Expenditure","STCAP 502 M60 Junction 1 Improvements - Feasibilit","5026.43"
"2017-05-08","ZZP272369","1","2025","BT Plc","230000","Highway Equipment & Materials    ","Highways Maintenance","Capital Expenditure","STCAP 502 M60 Junction 1 Improvements - On Site","81768"
"2017-05-08","ZZP272370","1","5464","ELECTRICITY NORTH WEST LIMITED","230000","Highway Equipment & Materials    ","Highways Maintenance","Capital Expenditure","STCAP 502 M60 Junction 1 Improvements - On Site","10986.8"
"2017-05-09","ZZP272415","1","757","Transport for Greater Manchest","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 05 Phase 2 Project Management","51185.5"
"2017-05-09","ZZP272416","1","757","Transport for Greater Manchest","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 05 Phase 2 Project Management","51185.5"
"2017-05-09","ZZP272431","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Capital Expenditure","Highway Drainage Investment Programme - On Site","9400"
"2017-05-12","ZZP272622","1","865","Bethell Construction Ltd","390000","Supplies and services","Supplies and services","Capital Expenditure","004 A6 Viaduct Waterproofing - On Site","6521.28"
"2017-05-12","ZZP272630","1","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","2742.41"
"2017-05-12","ZZP272630","2","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","2737.25"
"2017-05-12","ZZP272630","3","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","2241.04"
"2017-05-12","ZZP272630","4","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","3190.28"
"2017-05-12","ZZP272630","5","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","4214.32"
"2017-05-12","ZZP272630","6","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","1324.44"
"2017-05-12","ZZP272630","7","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","4897.68"
"2017-05-12","ZZP272630","8","7820","Greater Manchester GMUTC","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","1087.69"
"2017-05-12","ZZP272631","1","757","Transport for Greater Manchest","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","HIP Carriageways - On Site","8500"
"2017-05-12","ZZP272662","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Capital Expenditure","Main Contractor DD - On Site","64860"
"2017-05-12","ZZP272666","1","5292","NPOWER (Electricity)","370000","Utilities   ","Utilities","Services to Place","Street Lighting Energy","1850000"
"2017-05-16","ZZP272722","1","6116","Atkins Limited","390000","Supplies and services","Supplies and services","Capital Expenditure","SEMMMS Prep Costs - Feasibility","10084"
"2017-05-18","ZZP272781","1","10615","Mosaic Hospitality Limited","111200","Catering Food & Beverages ","Catering Supplies","Corporate and Support Services","Weddings & Functions","10000"
"2017-05-18","ZZP272803","1","5214","WSP GROUP PLC","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 703 Wellington Road South (Greek St to Excha","20500"
"2017-05-18","ZZP272805","1","1781","Animal Wardens","180010","Environmental Services Animal Services ","Animal Welfare","Services to Place","Dog Warden Service","30000"
"2017-05-19","ZZP272851","1","5915","Atkins Global","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Highway Design Team","16120"
"2017-05-19","ZZP272853","1","7802","Craemer UK Ltd","182020","Environmental Services Waste Management","Waste Management Equipment","Services to Place","Blue Wheelie Bins","6590.5"
"2017-05-19","ZZP272853","2","7802","Craemer UK Ltd","182020","Environmental Services Waste Management","Waste Management Equipment","Services to Place","Blue Wheelie Bins","6590.5"
"2017-05-19","ZZP272854","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","29892.4"
"2017-05-19","ZZP272855","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","Policy-Rights Of Way","1320"
"2017-05-19","ZZP272855","2","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Fvr A PROW Footpaths","36382.7"
"2017-05-19","ZZP272868","1","6748","GEORGE COX & SONS LTD","390000","Supplies and services","Supplies and services","Capital Expenditure","Highway Drainage Investment Programme - Feasibilit","5000"
"2017-05-19","ZZP272899","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Services to Place","CTV Management & Support","11512.5"
"2017-05-19","ZZP272916","1","5915","Atkins Global","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","27032"
"2017-05-22","ZZP272932","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Berevement Services","7000"
"2017-05-22","ZZP272963","1","757","Transport for Greater Manchest","230000","Highway Equipment & Materials    ","Highways Maintenance","Capital Expenditure","004 A6 Viaduct Waterproofing - Feasibility","5650"
"2017-05-23","ZZP272987","1","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","6326"
"2017-05-23","ZZP272987","2","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","2388"
"2017-05-23","ZZP272987","3","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","1100"
"2017-05-23","ZZP272987","4","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","15998"
"2017-05-23","ZZP272987","5","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","1580"
"2017-05-23","ZZP272987","6","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","90"
"2017-05-23","ZZP272987","7","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","2640"
"2017-05-23","ZZP272987","8","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","3940.5"
"2017-05-23","ZZP272987","9","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","960"
"2017-05-23","ZZP272988","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 303 King St West (Gradwell Street to R. Mers","27921.8"
"2017-05-23","ZZP272989","1","11107","dv A W Law Limited t/a Alexan","280000","Legal Services  ","Legal Fees","Corporate and Support Services","Income Recovery","21833.1"
"2017-05-23","ZZP273035","1","10855","NEPRO Ltd","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","ICT- General","105263"
"2017-05-23","ZZP273057","1","2718","Virgin Media Business","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","I&C Trade (Stockport Homes)","103636"
"2017-05-24","ZZP273061","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Capital Expenditure","Pothole Repair Fund 2017/18 - Greenspace","7576.6"
"2017-05-24","ZZP273062","1","11109","Cleveland Land Services (Guisb","240000","Horticultural  ","Grounds Maintenance","Services to Place","Environment Administration Support","101651"
"2017-05-24","ZZP273063","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Capital Expenditure","Pothole Repair Fund 2017/18 - Greenspace","15852.5"
"2017-05-24","ZZP273065","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Capital Expenditure","Pothole Repair Fund 2017/18 - Greenspace","7030.63"
"2017-05-24","ZZP273084","1","5915","Atkins Global","150000","Consultancy   ","Professional Fees","Capital Expenditure","STCAP 02 Phase 2 - Project Dev, Mangmt & Mon - Fea","9318"
"2017-05-24","ZZP273095","1","3529","Solutions SK Ltd","240000","Horticultural  ","Grounds Maintenance","Services to Place","Policy-Rights Of Way","1320"
"2017-05-24","ZZP273095","2","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Fvr A PROW Footpaths - On Site","36382.7"
"2017-05-25","ZZP273129","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Highway Drainage Investment Programme - On Site","7400"
"2017-05-25","ZZP273137","1","3529","Solutions SK Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Highway Drainage Routine Repair - On Site","6100"
"2017-05-25","ZZP273184","1","9543","Carillion (AMBS) Ltd","150000","Consultancy   ","Professional Fees","Corporate and Support Services","GMCA Land & Property","100000"
"2017-05-25","ZZP273185","1","10611","Wates Construction Ltd","390000","Works - Construction, Repair & Maintenance  ","Capital Expenditure - Works","Capital Expenditure","Bridgefield Development - General Costs","4284980"
"2017-05-26","ZZP273206","1","9684","GM Business Support Ltd","290000","Arts & Leisure Services  ","Publicity and Promotion","Services to Place","Economic Development","5000"
"2017-05-26","ZZP273239","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Design Framework Staff","67940"
"2017-05-30","ZZP273307","1","4272","Civica UK Ltd","390000","Supplies and services","Supplies and services","Corporate and Support Services","Bentax","25000"
"2017-05-30","ZZP273308","1","4272","Civica UK Ltd","390000","Supplies and services","Supplies and services","Corporate and Support Services","Bentax","58791"
"2017-05-30","ZZP273312","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","34720"
"2017-05-31","ZZP273330","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","ECS-Head of Engineering Consultancy Services","20700"
"2017-05-31","ZZP273343","1","8010","GROUNDWORK & LEISURE SERVIC","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","34600"
"2017-05-31","ZZP273345","1","8010","GROUNDWORK & LEISURE SERVIC","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","59995.9"
"2017-05-31","ZZP273346","1","8010","GROUNDWORK & LEISURE SERVIC","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","13815.9"
"2017-05-31","ZZP273348","1","8010","GROUNDWORK & LEISURE SERVIC","240000","Horticultural  ","Grounds Maintenance","Services to Place","SPECIAL PROJECT 1","24350.6"
"2017-05-31","ZZP273355","1","865","Bethell Construction Ltd","390000","Supplies and services","Supplies and services","Capital Expenditure","004 A6 Viaduct Waterproofing - On Site","149602"
"2017-05-31","ZZP273356","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Network Assets Staff","24960"
"2017-05-31","ZZP273357","1","6967","Wilde Consultants Ltd","150000","Consultancy   ","Professional Fees","Services to Place","Network Assets Staff","21576"
"2017-05-31","ZZP273358","1","6116","Atkins Limited","150000","Consultancy   ","Professional Fees","Services to Place","Network Assets Staff","36618"
"2017-05-31","ZZP273359","1","683","AECOM Limited","150000","Consultancy   ","Professional Fees","Services to Place","Investing in Growth","15878"
"2017-06-01","ZZP273378","1","3529","Solutions SK Ltd","390000","Supplies and services","Supplies and services","Services to Place","Landscape Dev-Werneth Ward Open Spaces","8565.49"
"2017-06-01","ZZP273406","1","11109","Cleveland Land Services (Guisb","240000","Horticultural  ","Grounds Maintenance","Capital Expenditure","Bellway Homes - Pitch Improvements North Reddish P","101651"
"2017-06-01","ZZP273407","1","3529","Solutions SK Ltd","181800","Environmental Services Technical Equipment ","Furniture and Equipment","Corporate and Support Services","Parlimentary & Other Election","20000"
"2017-06-01","ZZP273408","1","3529","Solutions SK Ltd","181800","Environmental Services Technical Equipment ","Furniture and Equipment","Corporate and Support Services","Parlimentary & Other Election","20000"
"2017-06-01","ZZP273411","1","9567","Frontline Data ltd","270000","Information Communication Technology  ","Information and Communications Technology","Corporate and Support Services","Traded Services","15435"
"2017-06-02","ZZP273443","1","7820","Greater Manchester Combined","290000","Arts & Leisure Services  ","Publicity and Promotion","Services to Place","Safer Partnerships","30213"
"2017-06-05","ZZP273473","1","7802","Craemer UK Ltd","182020","Environmental Services Waste Management","Waste Management Equipment","Services to Place","Black Wheelie Bins","11392.5"
"2017-06-05","ZZP273474","1","11120","Manchester Histories","290000","Arts & Leisure Services  ","Publicity and Promotion","Services to Place","Arts Development","7243"
"2017-06-05","ZZP273509","1","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","22762"
"2017-06-05","ZZP273509","2","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","5100"
"2017-06-05","ZZP273509","3","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","10164"
"2017-06-05","ZZP273509","4","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","10000"
"2017-06-05","ZZP273509","5","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","2420"
"2017-06-05","ZZP273509","6","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","3260"
"2017-06-05","ZZP273509","7","10966","National Car Parks Ltd","390000","Works - Construction, Repair & Maintenance  ","Signage","Capital Expenditure","Bridgefield Development - General Costs","17178"
