Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,
02/07/2018,ZZP293089,1,12978,Mills & Reeve LLP (office acco,280000,Legal Services  ,Legal Fees,Capital Expenditure,M&U - Produce Hall/Blackshaws,"29,500.00",401016,C.10904.007,,,,
02/07/2018,ZZP293103,1,3292,Reach Publishing Services Ltd,190000,Facilities & Management Services  ,Office Expenses,Corporate and Support Services,POD Communications,"5,929.30",400710,11323,,,,
02/07/2018,ZZP293132,1,11153,Kaarbon Technology Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Capital Expenditure,Fvr B TAMP Development & Monitoring - Feasibility,"1,750.00",402001,C.01202.201,,,,
02/07/2018,ZZP293132,2,11153,Kaarbon Technology Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Capital Expenditure,Fvr B TAMP Development & Monitoring - Feasibility,"6,980.00",402001,C.01202.201,,,,
03/07/2018,ZZP293189,1,2310,Door Care & Security Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,DbD – Phase 2,395.50,200301,12961,,,,
03/07/2018,ZZP293189,2,2310,Door Care & Security Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,DbD – Phase 2,"5,475.63",200301,12961,,,,
03/07/2018,ZZP293189,3,2310,Door Care & Security Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,DbD – Phase 2,"3,245.50",200301,12961,,,,
03/07/2018,ZZP293189,4,2310,Door Care & Security Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,DbD – Phase 2,"5,764.18",200301,12961,,,,
04/07/2018,ZZP293203,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,DbD – Phase 2,"14,611.33",200301,12961,,,,
04/07/2018,ZZP293202,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,DbD – Phase 2,"5,471.29",200301,12961,,,,
04/07/2018,ZZP293268,1,10036,Social Lettings Stockport Home,150000,Consultancy   ,Professional Fees,Non-General Fund Items,HRA Strategic Management,"15,323.80",401020,12175,,,,
06/07/2018,ZZP293434,1,1342,UK Container Maintenance Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Containers,"4,674.24",400401,10883,,,,
06/07/2018,ZZP293434,2,1342,UK Container Maintenance Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Containers,"5,633.76",400401,10883,,,,
09/07/2018,ZZP293485,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Brown Wheelie Bins,"11,040.00",400401,10863,,,,
09/07/2018,ZZP293485,2,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Blue Wheelie Bins,"11,040.00",400401,10862,,,,
09/07/2018,ZZP293485,3,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Green Wheelie Bins,"11,550.00",400401,10861,,,,
09/07/2018,ZZP293485,4,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Bulk Containers,"2,070.00",400401,10883,,,,
09/07/2018,ZZP293485,5,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Prudential Borrowing,"3,500.00",400401,10882,,,,
12/07/2018,ZZP293696,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,DbD – Phase 2,"9,329.00",102020,12961,,,,
17/07/2018,ZZP293901,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,CYPD works,"16,408.70",202031,11258,,,,
16/07/2018,ZZP293859,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Capital Expenditure,STCAP 303 King St West (Gradwell Street to R. Mers,"66,648.25",401600,C.00983.203,,,,
16/07/2018,ZZP293860,1,9697,DLA Piper UK LLP,390000,Supplies and services,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,"15,092.50",401600,C.00718.203,,,,
16/07/2018,ZZP293860,2,9697,DLA Piper UK LLP,390000,Supplies and services,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,"27,199.50",401600,C.00718.203,,,,
16/07/2018,ZZP293860,3,9697,DLA Piper UK LLP,390000,Supplies and services,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,"25,974.57",401600,C.00718.203,,,,
16/07/2018,ZZP293860,4,9697,DLA Piper UK LLP,390000,Supplies and services,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,"2,924.90",401600,C.00718.203,,,,
16/07/2018,ZZP293860,5,9697,DLA Piper UK LLP,390000,Supplies and services,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,"10,900.00",401600,C.00718.203,,,,
16/07/2018,ZZP293860,6,9697,DLA Piper UK LLP,390000,Supplies and services,Supplies and services,Capital Expenditure,SEMMMS Prep Costs - On Site,"6,144.00",401600,C.00718.203,,,,
10/07/2018,ZZP293532,1,13005,AHR BUILDING CONSULTANCY LTD,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"31,265.00",401020,12328,,,,
10/07/2018,ZZP293532,2,13005,AHR BUILDING CONSULTANCY LTD,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"8,325.00",401020,12328,,,,
11/07/2018,ZZP293611,1,10855,Bloom Procurement Services,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Office of the Chief Executive,"200,000.00",401020,11112,,,,
16/07/2018,ZZP293861,1,8646,MPH INSPECTION SERVICES,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Structural Testing of Signs,"11,390.00",201202,12028,,,,
16/07/2018,ZZP293862,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,ST048 GD3 Business Case - Merseyway Refurbishment,"106,490.06",200304,C.01179.201,,,,
17/07/2018,ZZP293892,1,11845,LEX VEHICLE LEASING,381600,Vehicle Management Hire/Leasing ,Leasing /Transport Hire,Corporate and Support Services,Mayoralty,"6,999.36",300302,11110,,,,
16/07/2018,ZZP293864,1,8646,MPH INSPECTION SERVICES,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Structural Testing of Columns,"19,117.85",201202,11995,,,,
11/07/2018,ZZP293663,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,DbD – Phase 2,"9,329.00",102020,12961,,,,
19/07/2018,ZZP294044,1,8010,GROUNDWORK & LEISURE SERVIC,240000,Horticultural  ,Grounds Maintenance,Capital Expenditure,Schemes In Parks,"6,054.00",202032,C.10775,,,,
13/07/2018,ZZP293755,1,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shopping Centre,"41,340.00",401020,12866,,,,
16/07/2018,ZZP293865,1,757,Transport for Greater Manchest,150000,Consultancy   ,Professional Fees,Capital Expenditure,STCAP 05 Phase 2 Project Management,"37,756.60",401007,C.01062,,,,
16/07/2018,ZZP293866,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,ECS-Buildings Team,"48,200.00",401600,11961,,,,
17/07/2018,ZZP293871,1,628,Life Leisure,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to Place,Sports Trust,"100,000.00",402403,11294,,,,
17/07/2018,ZZP293883,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Planned Patching Repairs,"5,868.70",200123,11988,,,,
16/07/2018,ZZP293863,1,12193,Greater Manchester Combined Au,390000,Supplies and services,Supplies and services,Capital Expenditure,5091 Hibbert Lane Roundabout S278 - On Site,"17,183.04",401600,C.01176.203,,,,
16/07/2018,ZZP293857,1,8759,VAISALA  LTD,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Gritting,"13,752.00",200123,12033,,,,
17/07/2018,ZZP293870,1,4272,Civica UK Ltd,171113,Education Library Books ,Library Equipment,Corporate and Support Services,Public Libraries General,"9,715.00",400201,11329,,,,
17/07/2018,ZZP293897,1,1799,Stockport Homes,150000,Consultancy   ,Professional Fees,Non-General Fund Items,HRA Strategic Management,"15,323.80",401020,12175,,,,
17/07/2018,ZZP293900,1,10506,G2 Recruitment Solutions Limit,999999,UNCLASSIFIED  ,MISCLASSIFIED? CHECK BEFORE PUBLICATION,Services to Place,Premises Licensing,"30,000.00",100100,10915,,,,
26/07/2018,ZZP294443,1,8549,Lucy Zodion Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"93,750.00",200304,C.01189.201,,,,
20/07/2018,ZZP294163,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"22,360.00",401020,11965,,,,
20/07/2018,ZZP294162,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"20,520.00",401020,11965,,,,
20/07/2018,ZZP294161,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"18,330.00",401020,11965,,,,
20/07/2018,ZZP294160,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"21,586.50",401020,11965,,,,
20/07/2018,ZZP294159,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"17,940.00",401020,11965,,,,
20/07/2018,ZZP294158,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"17,940.00",401020,11965,,,,
23/07/2018,ZZP294234,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,Capital Expenditure,STCAP St Marys Way/New Bridge Lane - On Site,"32,648.64",401600,C.00932.203,,,,
23/07/2018,ZZP294221,1,176,Lexis Nexis UK,200000,Financial Services  ,Fees and Charges,Services to Place,Commercial,"7,046.10",402401,10913,,,,
24/07/2018,ZZP294328,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Public Libraries General,"9,715.00",402001,11329,,,,
24/07/2018,ZZP294310,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,004 A6 Viaduct Waterproofing - On Site,"24,000.00",200304,C.01152.203,,,,
26/07/2018,ZZP294372,1,1007,JCDecaux UK Ltd,190000,Facilities & Management Services  ,Publicity and Promotion,Corporate and Support Services,POD Printing,"5,634.20",401800,11064,,,,
25/07/2018,ZZP294367,1,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"17,455.08",401020,12328,,,,
26/07/2018,ZZP294398,1,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"6,694.92",401020,12328,,,,
27/07/2018,ZZP294515,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,"Stockport Sports Village, Woodley - On Site","5,214.14",200304,C.00926.203,,,,
26/07/2018,ZZP294426,1,3529,Totally Local Company Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,CCTV-Control,"1,550.00",402008,12822,,,,
26/07/2018,ZZP294426,2,3529,Totally Local Company Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,CCTV-Control,"2,334.00",402008,12822,,,,
26/07/2018,ZZP294426,3,3529,Totally Local Company Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,CCTV-Control,"4,032.00",402008,12822,,,,
26/07/2018,ZZP294442,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,STCAP 606C P2 NMU Path Annable Rd to Dark Lane - O,"26,545.00",200304,C.01173.203,,,,
29/07/2018,ZZP294541,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Network Assets Staff,"5,000.00",401007,11959,,,,
29/07/2018,ZZP294540,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Network Assets Staff,"5,000.00",401007,11959,,,,
27/07/2018,ZZP294497,1,11715,CBRE,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Gorsey Bank Investment Estate,"15,703.00",401020,12859,,,,
27/07/2018,ZZP294513,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"19,000.00",401020,11965,,,,
27/07/2018,ZZP294512,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"19,000.00",401020,11965,,,,
27/07/2018,ZZP294529,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Gates and Barriers,"34,000.00",202002,11188,,,,
31/07/2018,ZZP294690,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0255A CCAG2 - Ladybridge Road Works - On Site,"76,931.61",200304,C.01180.203,,,,
31/07/2018,ZZP294686,1,10179,Messagelabs Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Schools Email & Internet,"22,500.00",402001,11418,,,,
03/08/2018,ZZP294870,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Black Wheelie Bins,"10,710.00",400401,10864,,,,
01/08/2018,ZZP294752,1,4272,Civica UK Ltd,390000,Supplies and services,Supplies and services,Corporate and Support Services,Bentax,"15,000.00",401600,11139,,,,
02/08/2018,ZZP294784,1,7861,Stockport District CAB,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Corporate and Support Services,"Information, Advice & Guidance","5,604.71",402403,13006,,,,
03/08/2018,ZZP294839,1,6116,Atkins Limited,150000,Consultancy   ,Professional Fees,Capital Expenditure,Fvr B LED Investment Programme - Management Costs,"26,700.00",401007,C.01178,,,,
01/08/2018,ZZP294754,1,13054,BPG Sportsground Contractors,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"11,874.00",202033,11280,,,,
02/08/2018,ZZP294774,1,1799,Stockport Homes,150000,Consultancy   ,Professional Fees,Corporate and Support Services,SPB - Investment Estate,"34,166.49",401020,10062,,,,
03/08/2018,ZZP294869,1,10670,Osborne Richardson,150000,Consultancy   ,Professional Fees,Services to Place,Food & Safety,"22,924.50",401007,10912,,,,
03/08/2018,ZZP294869,2,10670,Osborne Richardson,150000,Consultancy   ,Professional Fees,Services to Place,Food & Safety,"1,188.00",401007,10912,,,,
06/08/2018,ZZP294904,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"5,650.00",401600,11280,,,,
07/08/2018,ZZP295016,1,6218,Lock it Safe Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - On Site,"9,544.00",200304,C.01189.203,,,,
07/08/2018,ZZP295017,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Brown Wheelie Bins,"11,040.00",400401,10863,,,,
07/08/2018,ZZP295017,2,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Blue Wheelie Bins,"11,040.00",400401,10862,,,,
07/08/2018,ZZP295017,3,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Green Wheelie Bins,"13,200.00",400401,10861,,,,
08/08/2018,ZZP295039,1,10349,InterWorks Europe Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Business Intelligence,"9,300.00",402010,11872,,,,
08/08/2018,ZZP295054,1,10506,G2 Recruitment Solutions Limit,150000,Consultancy   ,Professional Fees,Services to Place,Neighbourhood Enforcement,"8,820.00",401007,10900,,,,
09/08/2018,ZZP295095,1,3669,Urban Vision Partnership Lt,150000,Consultancy   ,Professional Fees,Services to Place,PLANNING,"35,000.00",401007,12150,,,,
10/08/2018,ZZP295138,1,5915,Atkins Global,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Fvr B LED Investment Programme - Management Costs,"6,988.00",200123,C.01178,,,,
10/08/2018,ZZP295137,1,5915,Atkins Global,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Fvr B LED Investment Programme - Management Costs,"31,970.00",200123,C.01178,,,,
24/08/2018,ZZP295708,1,11525,New Local Government Network,200000,Financial Services  ,Fees and Charges,Corporate and Support Services,Corporate Policy,"12,324.00",402401,12642,,,,
10/08/2018,ZZP295149,1,4585,Knight Kavanagh & Page Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Condition Works on Leisure Centres - Marple,"9,700.00",200123,C.11508.005,,,,
14/08/2018,ZZP295323,1,3529,Totally Local Company Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,Planned Patching Repairs,"12,627.76",202050,11988,,,,
13/08/2018,ZZP295202,1,3529,Totally Local Company Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,Planned Patching Repairs,"6,069.38",202050,11988,,,,
14/08/2018,ZZP295324,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Capital Expenditure,571 Welkin Mill Subways - On Site,"14,500.73",401600,C.01215.203,,,,
13/08/2018,ZZP295243,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Capital Expenditure,5082 Bredbury Curve S278 - On Site,"97,552.58",401600,C.01154.203,,,,
13/08/2018,ZZP295244,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,Capital Expenditure,5082 Bredbury Curve S278 - On Site,"36,758.02",401600,C.01154.203,,,,
13/08/2018,ZZP295245,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,5082 Bredbury Curve S278 - On Site,"9,557.25",200304,C.01154.203,,,,
14/08/2018,ZZP295280,1,4708,The Dodd Group,240000,Horticultural  ,Grounds Maintenance,Capital Expenditure,Condition Works on Leisure Centres - Marple,"10,133.83",202029,C.11508.005,,,,
14/08/2018,ZZP295322,1,7852,Cheshire East Council,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,"Passages, Rail & Marr","39,547.13",200123,11998,,,,
17/08/2018,ZZP295455,1,7802,Craemer UK Ltd,182020,Environmental Services Waste Management,Waste Management Equipment,Services to Place,Black Wheelie Bins,"9,520.00",400401,10864,,,,
16/08/2018,ZZP295423,1,10203,PINSENT MASONS LLP,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Merseyway Shopping Centre,"7,950.00",401007,12866,,,,
22/08/2018,ZZP295656,1,5915,Atkins Global,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"21,746.50",401020,11965,,,,
20/08/2018,ZZP295544,1,5915,Atkins Global,150000,Consultancy   ,Professional Fees,Services to Place,Highways-Network Management,"27,720.00",401020,11968,,,,
20/08/2018,ZZP295541,1,5915,Atkins Global,150000,Consultancy   ,Professional Fees,Services to Place,Highways-Network Management,"23,275.00",401007,11968,,,,
22/08/2018,ZZP295655,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,S 278 Developer Fees and Contributions,"7,933.16",200304,12843,,,,
22/08/2018,ZZP295609,1,6748,GEORGE COX & SONS LTD,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"9,274.49",202033,11280,,,,
22/08/2018,ZZP295608,1,9009,Bernard Taylor Partnership,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,"6,000.00",202000,11176,,,,
28/08/2018,ZZP295824,1,1113,Maysand Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,"10,336.14",202000,11176,,,,
22/08/2018,ZZP295632,1,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries General,"23,726.00",400110,11329,,,,
28/08/2018,ZZP295783,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Policy-Rights Of Way,"1,856.66",202030,10088,,,,
28/08/2018,ZZP295783,2,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Policy-Rights Of Way,"2,581.75",202030,10088,,,,
28/08/2018,ZZP295783,3,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Policy-Rights Of Way,579.42,202030,10088,,,,
28/08/2018,ZZP295783,4,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Policy-Rights Of Way,425.00,202030,10088,,,,
28/08/2018,ZZP295783,5,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Policy-Rights Of Way,"2,648.69",202030,10088,,,,
22/08/2018,ZZP295650,1,216,Manchester City Council,202100,Financial Services Subscriptions ,Third party payments - Public Sector,Corporate and Support Services,Civil Resilience,"52,380.00",500305,11103,,,,
23/08/2018,ZZP295660,1,13099,ROBERTSON FACILITIES MANAGEMEN,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"291,666.64",401020,12328,,,,
28/08/2018,ZZP295781,1,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,195.00,202000,11280,,,,
28/08/2018,ZZP295781,2,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"2,380.00",202000,11280,,,,
28/08/2018,ZZP295781,3,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,165.00,202000,11280,,,,
28/08/2018,ZZP295781,4,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,490.00,202000,11280,,,,
28/08/2018,ZZP295781,5,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,140.00,202000,11280,,,,
28/08/2018,ZZP295781,6,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"2,808.50",202000,11280,,,,
28/08/2018,ZZP295780,1,219,Arboricultural Treeworks,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"8,349.00",202000,11280,,,,
28/08/2018,ZZP295780,2,219,Arboricultural Treeworks,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,1.00,202000,11280,,,,
24/08/2018,ZZP295750,1,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries General,"5,000.00",400110,11329,,,,
24/08/2018,ZZP295749,1,7522,The Design Concept,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Public Libraries General,"10,625.00",400110,11329,,,,
05/09/2018,ZZP296205,1,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,DbD – Phase 2,"4,500.00",102020,12961,,,,
05/09/2018,ZZP296205,2,4105,QA Ltd,260000,Human Resources  ,Staff Training,Corporate and Support Services,DbD – Phase 2,"1,465.00",102020,12961,,,,
28/08/2018,ZZP295825,1,1113,Maysand Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Area East-Brabyns Park,"13,365.29",200123,11176,,,,
30/08/2018,ZZP295965,1,223,Groundwork Landscapes Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,Bredbury & Romiley Ward,"5,991.70",202050,12025,,,,
28/08/2018,ZZP295831,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Services to Place,SPECIAL PROJECT 9,"46,600.00",401600,11275,,,,
29/08/2018,ZZP295866,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,"45,000.00",401600,C.01194.203,,,,
29/08/2018,ZZP295865,1,3529,Totally Local Company Ltd,390000,Supplies and services,Supplies and services,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,"45,000.00",401600,C.01194.203,,,,
29/08/2018,ZZP295843,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,Capital Expenditure,Principal Inspections - Feasibility,"48,187.25",401007,C.00620.201,,,,
31/08/2018,ZZP295968,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,Services to Place,Highways-Road Safety,"6,776.00",401007,11970,,,,
30/08/2018,ZZP295962,1,757,Transport for Greater Manchest,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,Capital Expenditure,5079 Brighton Rd S278 Scarborough - Feasibility,"5,603.42",200316,C.01114.201,,,,
29/08/2018,ZZP295884,1,4272,Civica UK Ltd,390000,Supplies and services,Supplies and services,Corporate and Support Services,Bentax,"15,000.00",401600,11139,,,,
30/08/2018,ZZP295929,1,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,700.00,202035,11280,,,,
30/08/2018,ZZP295929,2,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,150.00,202035,11280,,,,
30/08/2018,ZZP295929,3,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,700.00,202035,11280,,,,
30/08/2018,ZZP295929,4,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"1,200.00",202035,11280,,,,
30/08/2018,ZZP295929,5,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,300.00,202035,11280,,,,
30/08/2018,ZZP295929,6,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,180.00,202035,11280,,,,
30/08/2018,ZZP295929,7,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,50.00,202035,11280,,,,
30/08/2018,ZZP295929,8,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,"1,100.00",202035,11280,,,,
30/08/2018,ZZP295929,9,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,480.00,202035,11280,,,,
