supplier_name,account_name,service,total_value,Privilege,trade_cat
CRITIQOM LIMITED,POSTAGE,RESOURCES,29976.3,Legal,79800000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,11483,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,5681.12,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,45000,Legal,79800000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,20000,Legal,79800000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,16130,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,33690,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,20000,Legal,79800000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,13521,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,40252.4,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,50000,Legal,79800000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,20000,Legal,79800000
CRITIQOM LIMITED,PRINTING,RESOURCES,5000,Legal,79800000
CRITIQOM LIMITED,POSTAGE,RESOURCES,49999,Legal,79800000
CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES,20000,Legal,79800000
CRITIQOM LIMITED,PRINTING,RESOURCES,5000,Utility,64110000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,49993.2,Consumer Products,18923000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,24382,Consumer Products,18923000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,28224.4,Consumer Products,18923000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,144480,Consumer Products,18923000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,22360,Consumer Products,18923000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,22394.4,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,8364.01,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,45360,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,33471.4,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,45360,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6002.88,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6002.88,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6002.88,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6002.88,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,60480,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,60480,Textile,19640000
CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,60480,Textile,19640000
CURTINS CONSULTING,SURVEYORS FEES,NEIGHBOURHOODS AND ENVIRONMENT,5687.97,Buildings,71312000
DAVID HUNTER,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT,6500,Legal,79411000
DAVID HUNTER,CONSULTANT FEES,CHILDREN’S SOCIAL CARE,5500,Transport,60171000
DAVID HUNTER,CONSULTANT FEES,CHILDREN’S SOCIAL CARE,5500,Legal,79411000
DCM SURFACES,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT,9200,Material Handling,45000000
DCM SURFACES,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT,5408,Material Handling,45000000
DONALD INSALL ASSOCIATES,MINOR BUILDING WORKS,ECONOMY DIRECTORATE,9250,Material Handling,45212350
DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE,53300,Buildings,71000000
DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE,53300,Buildings,71000000
DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE,148600,Buildings,71000000
DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE,138625,Buildings,71000000
DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE,48875,Buildings,71000000
DONALD INSALL ASSOCIATES,MINOR BUILDING WORKS,ECONOMY DIRECTORATE,53300,Buildings,71200000
DONALD INSALL ASSOCIATES,MINOR BUILDING WORKS,ECONOMY DIRECTORATE,5194.6,Buildings,71200000
DONALD INSALL ASSOCIATES,MINOR BUILDING WORKS,ECONOMY DIRECTORATE,10731,Buildings,71200000
DONALD INSALL ASSOCIATES,CONSULTANTS FEES,ECONOMY DIRECTORATE,15000,Buildings,71200000
DONALD INSALL ASSOCIATES,MINOR BUILDING WORKS,ECONOMY DIRECTORATE,22587,Buildings,71200000
EARLY BREAK,ACTIVITIES,PUBLIC HEALTH,53913,Material,44221000
EARLY BREAK,ACTIVITIES,PUBLIC HEALTH,49502,Social,98000000
EARLY BREAK,ACTIVITIES,PUBLIC HEALTH,49502,Social,98000000
EDGE HILL UNIVERSITY,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE,10000,Education,80320000
EDGE HILL UNIVERSITY,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT,10500,Education,80320000
ELECTORAL REFORM SERVICES,PRINTING & STATIONERY,RESOURCES,9765.34,Paper,22800000
ELECTORAL REFORM SERVICES,PRINTING & STATIONERY,RESOURCES,8521.79,Paper,22800000
ELECTORAL REFORM SERVICES,EXPENSES - GENERAL,RESOURCES,5278.44,Paper,22000000
ELECTORAL REFORM SERVICES,IT EQUIPMENT,FINANCE SERVICES,5029.6,Paper,22821000
ENVIRONMENT AGENCY,ENGINEERS FEES,ECONOMY DIRECTORATE,75738.9,Development,73000000
ENVIRONMENT AGENCY,SITE INVESTIGATION,ECONOMY DIRECTORATE,120000,Development,73000000
ENVIRONMENT AGENCY,SITE INVESTIGATION,ECONOMY DIRECTORATE,30000,Development,73000000
EQUITA LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,7500,Social,98351110
EQUITA LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,7500,Social,98351110
EQUITA LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,7500,Social,98351110
EQUITA LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,7500,Social,98351110
EQUITA LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,15000,Social,98351110
ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,22672.1,Legal,79212000
ERNST & YOUNG LLP,CONSULTANT FEES,EARLY HELP AND SCHOOLS,27342.2,Legal,79212000
ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,5446.4,Legal,79212000
ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,6987.4,Legal,79212000
ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,6590.56,Legal,79212000
ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,6626.07,Data,72000000
ERNST & YOUNG LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,9331.56,Legal,79212000
EURO LABEL PRINTERS LIMITED,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT,8912,Paper,22458000
EURO LABEL PRINTERS LIMITED,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT,8916,Paper,22458000
EVANS HALSHAW,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT,27890,Transport,34100000
EVANS HALSHAW,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT,27941.5,Transport,34100000
EVANS HALSHAW,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT,27941.5,Transport,34210000
EXPERIAN LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,7800,Legal,79990000
EXPERIAN LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,7823.33,Data,48000000
EXPERIAN LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,7823.33,Data,72261000
EXPERIAN LIMITED,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT,9321,Data,48600000
EXPERIAN LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,7500,Legal,79400000
F R SHARROCK LIMITED,PURCHASE OF PLANT AND MACHINERY,NEIGHBOURHOODS AND ENVIRONMENT,20113,Equipment,16000000
FAMILY ACTION,GRANTS TO THE VOLUNTARY SECTOR,EARLY HELP AND SCHOOLS,15319.3,Health,85312000
FAMILY ACTION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS,15319.4,Health,85312000
FAMILY ACTION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS,15319.4,Education,80000000
FAMILY ACTION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS,15319.4,Education,80000000
FAMILY ACTION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS,15319.3,Education,80000000
FOCUS CONSULTANTS 2010 LLP,CONSULTANTS FEES,ECONOMY DIRECTORATE,24123,Buildings,71324000
FORBES SOLICITORS,INPUT VAT -  ADJUSTMENTS,RESOURCES,40000,Legal,79100000
FORBES SOLICITORS,INPUT VAT -  ADJUSTMENTS,RESOURCES,40000,Legal,79111000
FORBES SOLICITORS,INPUT VAT -  ADJUSTMENTS,RESOURCES,50000,Data,72300000
FORBES SOLICITORS,INPUT VAT -  ADJUSTMENTS,RESOURCES,50000,Data,72300000
FORBES SOLICITORS,INPUT VAT -  ADJUSTMENTS,FINANCE SERVICES,40000,Legal,79100000
GAMMA BUSINESS COMMUNICATIONS,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,48024,Equipment,51340000
GAMMA BUSINESS COMMUNICATIONS,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,25000,Equipment,51340000
GARDINER & THEOBALD LLP,SURVEYORS FEES,ECONOMY AND ENVIRONMENT,5950,Buildings,71324000
GATENBY SANDERSON,CONSULTANT FEES,RESOURCES,12000,Legal,79000000
GATENBY SANDERSON,RECRUITMENT AGENCY FEES,RESOURCES,5712,Legal,79000000
GATENBY SANDERSON,RECRUITMENT AGENCY FEES,RESOURCES,6600,Legal,79000000
GATENBY SANDERSON,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES,75000,Development,73300000
GATENBY SANDERSON,AGENCY STAFF,LEARNING DIS & MENTAL HEALTH,9907.2,Development,73300000
GATENBY SANDERSON,AGENCY STAFF,LEARNING DIS & MENTAL HEALTH,6604.8,Development,73300000
GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE,5423,Administration,75111100
GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE,5104,Legal,79600000
GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE,6380,Legal,79620000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,5742,Legal,79620000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,6380,Legal,79620000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,6220.5,Legal,79620000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,5742,Legal,79000000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,5104,Legal,79000000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,5104,Legal,79000000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,30000,Legal,79000000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,30000,Legal,79000000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,30000,Legal,79620000
GATENBY SANDERSON,TRAINING,CHILDREN’S SOCIAL CARE,17250,Legal,79600000
GO PLANT LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,6825,Equipment,50111100
GO PLANT LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT,9649.35,Transport,34100000
GRAITEC LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,12830.6,Data,48000000
GRAITEC LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,14036,Data,48000000
GRANT THORNTON UK LLP,FEES / COMMISSION,FINANCE SERVICES,45825,Legal,79212500
GRANT THORNTON UK LLP,FEES / COMMISSION,FINANCE SERVICES,24800,Legal,79330000
GRANT THORNTON UK LLP,FEES / COMMISSION,FINANCE SERVICES,160438,Development,73200000
GRANT THORNTON UK LLP,FEES / COMMISSION,RESOURCES,154973,Legal,79210000
GRANT THORNTON UK LLP,FEES / COMMISSION,RESOURCES,5718,Legal,79210000
GRANT THORNTON UK LLP,FEES / COMMISSION,RESOURCES,20065,Legal,79210000
GRANT THORNTON UK LLP,FEES / COMMISSION,RESOURCES,20065,Legal,79210000
GROUNDWORK LANDSCAPES LIMITED,REPAIRS & ALTS OF BUILDINGS,NEIGHBOURHOODS AND ENVIRONMENT,6900,Material Handling,45000000
GROUNDWORK LANDSCAPES LIMITED,ENVIRONMENTAL WORKS LANDSCAPE,NEIGHBOURHOODS AND ENVIRONMENT,7473.5,Material Handling,45000000
GROUNDWORK LANDSCAPES LIMITED,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,79530,Material Handling,45000000
HARTLEPOOL BOROUGH COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,18000,Education,80000000
HARTLEPOOL BOROUGH COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9000,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,EARLY HELP AND SCHOOLS,6844,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,EARLY HELP AND SCHOOLS,9696,Health,85100000
HEALTH MANAGEMENT LIMITED,PRINTING,EARLY HELP AND SCHOOLS,5336,Health,85100000
HEALTH MANAGEMENT LIMITED,PRINTING,EARLY HELP AND SCHOOLS,6554,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES,5563.94,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES,6271.03,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES,5090.95,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES,5240.48,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES,6243.57,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,RESOURCES,82564,Health,85100000
HEALTH MANAGEMENT LIMITED,OCCUPATIONAL HEALTH,FINANCE SERVICES,82000,Health,85147000
HEMPSONS,PUBLIC TRANSPORT,FINANCE SERVICES,9524,Legal,79000000
HILL DICKINSON LLP,LEGAL SERVICES EXTERNAL,ECONOMY DIRECTORATE,6840,Education,80500000
HILL DICKINSON LLP,LEGAL SERVICES EXTERNAL,ECONOMY DIRECTORATE,20000,Legal,79100000
HILL DICKINSON LLP,PROFESSIONAL FEES,RESOURCES,6904.27,Education,80500000
HILL DICKINSON LLP,PROFESSIONAL FEES,RESOURCES,6840,Education,80500000
HILL DICKINSON LLP,PROFESSIONAL FEES,RESOURCES,6399,Education,80500000
HILL DICKINSON LLP,PROFESSIONAL FEES,RESOURCES,27755.7,Legal,79100000
HILL DICKINSON LLP,PROJECTS,ADULT CARE LCO FUNCTIONS,6399,Education,80500000
HOPWOOD HALL COLLEGE,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT,8000,Transport,60172000
HOPWOOD HALL COLLEGE,CURRICULUM DEVELOPMENT,EARLY HELP AND SCHOOLS,15000,Education,80000000
HOPWOOD HALL COLLEGE,ACTIVITIES,EARLY HELP AND SCHOOLS,50000,Transport,60172000
HOPWOOD HALL COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS,79995.7,Transport,60172000
HOPWOOD HALL COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS,79995.7,Transport,60172000
HOPWOOD HALL COLLEGE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS,5075,Transport,60172000
IAN FARMER ASSOCIATES,ENGINEERS FEES,PROPERTY AND HIGHWAYS,5800,Buildings,71315200
IAN FARMER ASSOCIATES,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS,12880,Material Handling,45120000
IAN FARMER ASSOCIATES,ROADWORKS,PROPERTY AND HIGHWAYS,10633,Material Handling,45120000
IAN FARMER ASSOCIATES,ROADWORKS,PROPERTY AND HIGHWAYS,9098.5,Material Handling,45120000
INTEGRATED WATER SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS,30000,Medical,33191000
INTEGRATED WATER SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS,50000,Medical,33191000
INTEGRATED WATER SERVICES LIMITED,PROPERTY - WORKS ELEMENT,PROPERTY AND HIGHWAYS,60000,Medical,33191000
INTERCOUNTRY ADOPTION CENTRE,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,9900,Health,85000000
INTERCOUNTRY ADOPTION CENTRE,FEES / COMMISSION,CHILDREN’S SOCIAL CARE,6500,Health,85000000
JACOBS,INPUT VAT -  ADJUSTMENTS,RESOURCES,50000,Material Handling,45111100
KEEP BRITAIN TIDY,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,6435,Legal,79952000
KEOGHS LLP,INPUT VAT -  ADJUSTMENTS,CONTROL ACCOUNT,20000,Administration,75231000
KEOGHS LLP,INPUT VAT -  ADJUSTMENTS,FINANCE SERVICES,20000,Legal,79100000
KPMG LLP,PROFESSIONAL FEES,RESOURCES,9958,Data,72000000
KPMG LLP,FEES / COMMISSION,RESOURCES,10000,Data,72000000
LANES GROUP PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,12600,Equipment,50000000
LANES GROUP PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,5000,Equipment,50000000
LANES GROUP PLC,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT,5000,Health,85000000
LANES GROUP PLC,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT,6000,Environment,90640000
LANES GROUP PLC,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT,6000,Environment,90640000
LANES GROUP PLC,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT,6000,Environment,90640000
LANES GROUP PLC,MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT,6000,Environment,90640000
LINK TREASURY SERVICES LIMITED,ADVICE/SUPPORT,RESOURCES,14268.9,Insurance,66000000
LINK TREASURY SERVICES LIMITED,ADVICE/SUPPORT,RESOURCES,6506.93,Insurance,66000000
LINK TREASURY SERVICES LIMITED,ADVICE/SUPPORT,RESOURCES,14611.6,Insurance,66000000
LOCAL GOVERNMENT ASSOCIATION,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT,32767,Legal,79980000
LOCAL GOVERNMENT ASSOCIATION,TRAINING-NON QUALIFICATION,RESOURCES,15000,Education,80000000
LOCAL GOVERNMENT ASSOCIATION,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT,31636,Education,80000000
LOCAL GOVERNMENT ASSOCIATION,SUBSCRIPTIONS,FINANCE SERVICES,40913.9,Health,85140000
LOCAL GOVERNMENT ASSOCIATION,SUBSCRIPTIONS,NEIGHBOURHOODS AND ENVIRONMENT,32767,Legal,79980000
LUTRA CONSULTING,CONSULTANT FEES,NEIGHBOURHOODS AND ENVIRONMENT,10000,Data,48000000
LUTRA CONSULTING,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT,5500,Data,48000000
MACE LIMITED,CONSULTANT FEES,ECONOMY AND ENVIRONMENT,5720,Development,73000000
MACE LIMITED,CONSULTANT FEES,ECONOMY AND ENVIRONMENT,5060,Development,73000000
MAKING SPACE,VOLUNTARY ASSOCIATIONS,LEARNING DIS & MENTAL HEALTH,58918,Health,85300000
MAKING SPACE,VOLUNTARY ASSOCIATIONS,LEARNING DIS & MENTAL HEALTH,23893,Social,98000000
MAKING SPACE,VOLUNTARY ASSOCIATIONS,LEARNING DIS & MENTAL HEALTH,29459,Social,98000000
MAKING SPACE,VOLUNTARY ASSOCIATIONS,LEARNING DIS & MENTAL HEALTH,23893,Health,85000000
MAKING SPACE,VOLUNTARY ASSOCIATIONS,LEARNING DIS & MENTAL HEALTH,29459,Health,85000000
MANCHESTER METROPOLITAN UNIVERSITY,ACTIVITIES,NEIGHBOURHOODS AND ENVIRONMENT,25000,Health,85000000
MANCHESTER METROPOLITAN UNIVERSITY,CONSULTANTS FEES,ECONOMY DIRECTORATE,15000,Legal,79993100
MANCHESTER METROPOLITAN UNIVERSITY,CONSULTANTS FEES,ECONOMY DIRECTORATE,15000,Legal,79993100
MAZARS LLP,FEES / COMMISSION,RESOURCES,105007,Legal,79212100
MAZARS LLP,FEES / COMMISSION,RESOURCES,105007,Legal,79212100
MAZARS LLP,FEES / COMMISSION,RESOURCES,26254,Legal,79212100
MET OFFICE,TRAINING,PROPERTY AND HIGHWAYS,5139,Consumer Products,39000000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,8638,Data,48450000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,11132,Data,48450000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,11689,Data,48450000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,69260,Data,48450000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,9069.9,Data,48450000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,24170.8,Data,48450000
MHR,SOFTWARE,RESOURCES,9204.57,Data,48000000
MHR,SOFTWARE,RESOURCES,8766.21,Data,48000000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,54541.6,Data,48000000
MHR,SOFTWARE,RESOURCES,9204.51,Data,48000000
MHR,SOFTWARE,RESOURCES,9664.8,Data,48000000
MHR,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT,55398.6,Data,48000000
MHR,PROFESSIONAL FEES,RESOURCES,5000,Data,48000000
MHR,PROFESSIONAL FEES,RESOURCES,5000,Data,48000000
MHR,SOFTWARE,RESOURCES,7500,Data,48000000
MOTT MACDONALD LIMITED,BRIDGES STRUCTURAL WORK,ECONOMY DIRECTORATE,10025,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,5314.13,Administration,75211200
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,5685.27,Administration,75211200
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,5000,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,10000,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,6212.07,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,7822.63,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,13000,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,EARLY HELP AND SCHOOLS,8518,Buildings,71311000
MOTT MACDONALD LIMITED,CONSULTANTS FEES,ECONOMY DIRECTORATE,6311.21,Buildings,71311000
NEWCASTLE CITY COUNCIL,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE,60000,Environment,90911200
NORTHERN COMMERCIALS,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT,77345,Transport,34144760
NPOWER LIMITED,ADVERTISING,PROPERTY AND HIGHWAYS,168661,Environment,9000000
NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS,117834,Environment,9000000
NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS,130289,#N/A,9310000
NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS,109547,#N/A,9310000
NPOWER LIMITED,ELECTRICITY,PROPERTY AND HIGHWAYS,1218900,#N/A,9310000
OFFICE DEPOT UK LIMITED,PROJECTS,ECONOMY AND ENVIRONMENT,15161.4,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT,6322.4,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT,8394.4,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,ACTIVITIES,PUBLIC HEALTH,6720,Legal,79800000
OFFICE DEPOT UK LIMITED,PRINTING,EARLY HELP AND SCHOOLS,7000,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,PRINTING,EARLY HELP AND SCHOOLS,5258.28,Legal,79800000
OFFICE DEPOT UK LIMITED,PRINTING,EARLY HELP AND SCHOOLS,5347.37,Legal,79800000
OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,FINANCE SERVICES,50000,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,POSTAGE,FINANCE SERVICES,36908,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,FINANCE SERVICES,50000,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,FINANCE SERVICES,10725.8,Consumer Products,39830000
OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,FINANCE SERVICES,41164,Legal,79800000
OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,FINANCE SERVICES,17900,Legal,79800000
OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,RESOURCES,14400,Legal,79800000
OFFICE DEPOT UK LIMITED,PRINTING,FINANCE SERVICES,6000,Consumer Products,39830000
OMI ARCHITECTS,CONDITION SURVEYS,ECONOMY DIRECTORATE,42850,Buildings,71315210
OMI ARCHITECTS,CONDITION SURVEYS,ECONOMY DIRECTORATE,10650,Buildings,71315210
PARKEON LIMITED,MAINTENANCE,PROPERTY AND HIGHWAYS,7380,Equipment,38730000
PARKEON LIMITED,MAINTENANCE,PROPERTY AND HIGHWAYS,5778,Equipment,38730000
